"Firma
BWFIRM";"Fabrica
BWWKNR";Maquina;"Bezeichnung
MAMABZ";NumerodaPeca;"Bezeichnung
TEBEZ1";"Bezeichnung
TEBEZ2";"OrdemProdução
BWAUNR";"Fase
BWAGNR";"Nr.Usuário
BWPENR";Data_ini;"BaseTempo
OAZTBA";Hora_ini;Data_fim;Hora_fim;QtdeProduzidaBoa;"QtdeProduzidaRuim
BWAUMG";"MinsPrevistos
BASEP";MinsProdReal;"GraudeTempo
CONTA";"TempoPreparação
OARUZT";"Tp.Lanc.
BWBWAR";"PortadorCusto
TEKOTR";"CentroCusto
MAKOST";"PesoLiquido
TEGWNE";"PeloBruto
TEGWBR";"Multi-Homem
AGMPAN";"Multi_Máquina
AGMEMA";"QtdPessoas/Máquina
AGANPR";"TE
AGSTZT";TMAGMAZT;"MinMaq
minmaqprev";Total;"MengenbasisGEWICHT
TEMBGW";"Horas/Turnotm
MASTMA";"Unterbrechungsgrund
BWUGRU";"DataIniciodaFase
OASTTE";"TurnodeTrabalho
BWC001";Turno
8;001;170;*ROSQ.DEPATRONA3R;911200010;BUCHASOLDAM6x1,0;;376.611;20;817709;14/11/2025;3;05:15:55;14/11/2025;13:28:30;6.500,00;0,00;541,00;493;1,10;115,00;FZ;1800;38001;0,0110;0,0130;1;5;1,00;8,33;6,67;433,00;6500,00;1;8,20;03;08/11/2025;1;PrimeiroTurno
8;001;170;*ROSQ.DEPATRONA3R;911200010;BUCHASOLDAM6x1,0;;376.611;20;803464;14/11/2025;3;13:53:28;14/11/2025;21:48:00;6.000,00;0,00;499,00;475;1,05;115,00;FZ;1800;38001;0,0110;0,0130;1;5;1,00;8,33;6,67;400,00;6000,00;1;8,20;03;08/11/2025;2;SegundoTurno
8;001;171;ROSQ.DEPATRONA3R;111900583;PORCASEXM10x1,5;ORGANOMETALICO;342.271;40;804104;14/11/2025;3;05:14:57;14/11/2025;11:31:55;4.379,00;0,00;438.556,00;377;1163,28;115,00;FZ;1801;38001;0,0230;0,0480;1;2;1,00;15,00;12,00;525,00;4379,00;1;15,00;40;15/11/2025;1;PrimeiroTurno
8;001;173;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;817709;14/11/2025;3;05:16:27;14/11/2025;13:29:56;3.100,00;0,00;456,00;493;0,92;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;364,00;3100,00;3;15,00;03;03/11/2025;1;PrimeiroTurno
8;001;173;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;803464;14/11/2025;3;13:53:06;14/11/2025;21:48:35;3.000,00;0,00;441,00;475;0,93;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;352,00;3000,00;3;15,00;03;03/11/2025;2;SegundoTurno
8;001;175;ROSQ.DEPATRONA2E;111600813;PORCAREDSOM6X110;ZINCO;348.225;30;817709;14/11/2025;3;05:16:50;14/11/2025;13:32:09;6.400,00;0,00;444,00;496;0,90;135,00;FZ;1801;38001;0,7600;0,8000;1;5;1,00;6,94;5,56;355,00;6400,00;3;15,00;03;18/11/2025;1;PrimeiroTurno
8;001;175;ROSQ.DEPATRONA2E;111600813;PORCAREDSOM6X110;ZINCO;348.225;30;803464;14/11/2025;3;13:52:15;14/11/2025;21:49:12;5.500,00;0,00;381,00;477;0,80;135,00;FZ;1801;38001;0,7600;0,8000;1;5;1,00;6,94;5,56;305,00;5500,00;3;15,00;03;18/11/2025;2;SegundoTurno
8;001;176;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;817709;14/11/2025;3;05:17:13;14/11/2025;13:31:30;3.400,00;0,00;500,00;494;1,01;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;399,00;3400,00;3;15,00;03;03/11/2025;1;PrimeiroTurno
8;001;176;ROSQ.DEPATRONA2E;112001410A;PORCASEXFLM14x110;OLEADO;367.539;30;803464;14/11/2025;3;13:52:39;14/11/2025;21:48:56;3.200,00;0,00;470,00;476;0,99;135,00;FZ;1801;38001;1,1000;1,4400;1;5;1,00;14,71;11,76;376,00;3200,00;3;15,00;03;03/11/2025;2;SegundoTurno
8;001;179;ROSQ.DEPATRONA2E;112000028;PORCARETM6x18;ZINCO;340.370;30;817709;14/11/2025;3;05:17:33;14/11/2025;13:32:51;5.500,00;0,00;529,00;495;1,07;135,00;FZ;1801;38001;1,2700;1,3300;1;5;1,00;9,62;7,69;422,00;5500,00;3;15,00;03;04/11/2025;1;PrimeiroTurno
